,Unnamed: 0,movie_id,original_title,Release_year,revenue,tags
8,8,767,Harry Potter and the Half-Blood Prince,2009,933959197,"adventur fantasi famili danielradcliff rupertgrint emmawatson warnerbros. heydayfilm unitedkingdom unitedstatesofamerica witch magic broom as harri begin hi sixth year at hogwarts, he discov an old book mark as 'properti of the half-blood prince', and begin to learn more about lord voldemort' dark past. davidy"
12,12,58,Pirates of the Caribbean: Dead Man's Chest,2006,1065659812,"adventur fantasi action johnnydepp orlandobloom keiraknightley waltdisneypictur jerrybruckheimerfilm secondmateproduct jamaica unitedstatesofamerica bahama witch fortunetel bondag captain jack sparrow work hi way out of a blood debt with the ghostli davey jones, he also attempt to avoid etern damnation. goreverbinski"
15,15,2454,The Chronicles of Narnia: Prince Caspian,2008,419651413,"adventur famili fantasi benbarn williammoseley annapopplewel waltdisney waldenmedia stillkingfilm czechrepubl poland slovenia basedonnovel fictionalplac brothersisterrelationship one year after their incred adventur in the lion, the witch and the wardrobe, peter, edmund, luci and susan pevensi return to narnia to aid a young princ whose life ha been threaten by the evil king miraz. now, with the help of a color cast of new characters, includ trufflehunt the badger and nikabrik the dwarf, the pevensi clan embark on an incred quest to ensur that narnia is return to it right heir. andrewadamson"
17,17,1865,Pirates of the Caribbean: On Stranger Tides,2011,1045713802,"adventur action fantasi johnnydepp penélopecruz ianmcshan waltdisneypictur jerrybruckheimerfilm movingpicturecompany(mpc) unitedstatesofamerica sea captain mutini captain jack sparrow cross path with a woman from hi past, and he' not sure if it' love -- or if she' a ruthless con artist who' use him to find the fabl fountain of youth. when she forc him aboard the queen anne' revenge, the ship of the formid pirat blackbeard, jack find himself on an unexpect adventur in which he doesn't know who to fear more: blackbeard or the woman from hi past. robmarshal"
20,20,1930,The Amazing Spider-Man,2012,752215857,"action adventur fantasi andrewgarfield emmaston rhysifan columbiapictur lauraziskinproduct marvelentertain unitedstatesofamerica lossoffath vigilant serum peter parker is an outcast high schooler abandon by hi parent as a boy, leav him to be rais by hi uncl ben and aunt may. like most teenagers, peter is tri to figur out who he is and how he got to be the person he is today. as peter discov a mysteri briefcas that belong to hi father, he begin a quest to understand hi parents' disappear – lead him directli to oscorp and the lab of dr. curt connors, hi father' former partner. as spider-man is set on a collis cours with connors' alter ego, the lizard, peter will make life-alt choic to use hi power and shape hi destini to becom a hero. marcwebb"
23,23,2268,The Golden Compass,2007,372234864,"adventur fantasi dakotabluerichard nicolekidman danielcraig newlinecinema ingeniousfilmpartn depthoffield unitedkingdom unitedstatesofamerica england compass experi after overhear a shock secret, precoci orphan lyra belacqua trade her carefre exist roam the hall of jordan colleg for an otherworldli adventur in the far north, unawar that it' part of her destiny. chrisweitz"
35,35,8373,Transformers: Revenge of the Fallen,2009,836297228,"sciencefict action adventur shialabeouf meganfox joshduhamel paramountpictur dreamworksskg amblinentertain unitedstatesofamerica egypt sun chao sam witwicki leav the autobot behind for a normal life. but when hi mind is fill with cryptic symbols, the decepticon target him and he is drag back into the transformers' war. michaelbay"
40,40,49013,Cars 2,2011,559852396,anim famili adventur owenwilson larrythecableguy michaelcain waltdisneypictur pixaranimationstudio unitedstatesofamerica carrac sequel comedi star race car lightn mcqueen and hi pal mater head oversea to compet in the world grand prix race. but the road to the championship becom rocki as mater get caught up in an intrigu adventur of hi own: intern espionage. johnlasset
43,43,534,Terminator Salvation,2009,371353001,"action sciencefict thriller christianbal samworthington antonyelchin columbiapictur thehalcyoncompani wonderlandsoundandvis germani itali unitedkingdom savingtheworld artificialintellig propheci all grown up in post-apocalypt 2018, john connor must lead the resist of human against the increasingli domin militarist robots. but when marcu wright appears, hi exist confus the mission as connor tri to determin whether wright ha come from the futur or the past -- and whether he' friend or foe. mcg"
53,53,217,Indiana Jones and the Kingdom of the Crystal Skull,2008,786636033,"adventur action harrisonford cateblanchett shialabeouf lucasfilm paramountpictur unitedstatesofamerica savingtheworld riddl whip set dure the cold war, the soviet – led by sword-wield irina spalko – are in search of a crystal skull which ha supernatur power relat to a mystic lost citi of gold. after be captur and then escap from them, indi is coerc to head to peru at the behest of a young man whose friend – and indy' colleagu – professor oxley ha been captur for hi knowledg of the skull' whereabouts. stevenspielberg"
